Collection,Ballot id,Contest,Selections
AllBallots,bid74,Aurora2K,No
AllBallots,bid75,Aurora2K,Yes
AllBallots,bid76,Aurora2K,No
AllBallots,bid77,Aurora2K,No
AllBallots,bid78,Aurora2K,No
AllBallots,bid79,Aurora2K,Yes
AllBallots,bid80,Aurora2K,Yes
AllBallots,bid81,Aurora2K,Yes
AllBallots,bid82,Aurora2K,Yes
AllBallots,bid83,Aurora2K,No
AllBallots,bid84,Aurora2K,No
AllBallots,bid85,Aurora2K,No
AllBallots,bid86,Aurora2K,Yes
AllBallots,bid87,Aurora2K,No
AllBallots,bid88,Aurora2K,No
AllBallots,bid89,Aurora2K,Yes
AllBallots,bid90,Aurora2K,Yes
AllBallots,bid91,Aurora2K,Yes
AllBallots,bid92,Aurora2K,No
AllBallots,bid93,Aurora2K,No
AllBallots,bid94,Aurora2K,Yes
AllBallots,bid95,Aurora2K,No
AllBallots,bid96,Aurora2K,No
AllBallots,bid97,Aurora2K,Yes
AllBallots,bid98,Aurora2K,No
AllBallots,bid99,Aurora2K,No
AllBallots,bid100,Aurora2K,No
AllBallots,bid101,Aurora2K,No
AllBallots,bid102,Aurora2K,Yes
AllBallots,bid103,Aurora2K,Yes
AllBallots,bid104,Aurora2K,Yes
AllBallots,bid105,Aurora2K,Yes
AllBallots,bid106,Aurora2K,Yes
AllBallots,bid107,Aurora2K,Yes
AllBallots,bid108,Aurora2K,No
AllBallots,bid109,Aurora2K,Yes
AllBallots,bid110,Aurora2K,No
AllBallots,bid111,Aurora2K,No
AllBallots,bid112,Aurora2K,No
AllBallots,bid113,Aurora2K,No
AllBallots,bid114,Aurora2K,Yes
AllBallots,bid115,Aurora2K,Yes
AllBallots,bid116,Aurora2K,No
AllBallots,bid117,Aurora2K,Yes
AllBallots,bid118,Aurora2K,No
AllBallots,bid119,Aurora2K,Yes
AllBallots,bid120,Aurora2K,Yes
AllBallots,bid121,Aurora2K,Yes
AllBallots,bid122,Aurora2K,No
AllBallots,bid123,Aurora2K,No
AllBallots,bid124,Aurora2K,No
AllBallots,bid125,Aurora2K,Yes
AllBallots,bid126,Aurora2K,No
AllBallots,bid127,Aurora2K,No
AllBallots,bid128,Aurora2K,No
AllBallots,bid129,Aurora2K,Yes
AllBallots,bid130,Aurora2K,No
AllBallots,bid131,Aurora2K,No
AllBallots,bid132,Aurora2K,No
AllBallots,bid133,Aurora2K,Yes
AllBallots,bid134,Aurora2K,Yes
AllBallots,bid135,Aurora2K,Yes
AllBallots,bid136,Aurora2K,Yes
AllBallots,bid137,Aurora2K,Yes
AllBallots,bid138,Aurora2K,Yes
AllBallots,bid139,Aurora2K,Yes
AllBallots,bid140,Aurora2K,Yes
AllBallots,bid141,Aurora2K,Yes
AllBallots,bid142,Aurora2K,Yes
AllBallots,bid143,Aurora2K,No
AllBallots,bid144,Aurora2K,No
AllBallots,bid145,Aurora2K,No
AllBallots,bid146,Aurora2K,No
AllBallots,bid147,Aurora2K,No
AllBallots,bid148,Aurora2K,No
AllBallots,bid149,Aurora2K,Yes
AllBallots,bid150,Aurora2K,Yes
AllBallots,bid151,Aurora2K,No
AllBallots,bid152,Aurora2K,Yes
AllBallots,bid153,Aurora2K,Yes
AllBallots,bid154,Aurora2K,No
AllBallots,bid155,Aurora2K,Yes
AllBallots,bid156,Aurora2K,Yes
AllBallots,bid157,Aurora2K,Yes
AllBallots,bid158,Aurora2K,Yes
AllBallots,bid159,Aurora2K,No
AllBallots,bid160,Aurora2K,Yes
AllBallots,bid161,Aurora2K,No
AllBallots,bid162,Aurora2K,Yes
AllBallots,bid163,Aurora2K,Yes
AllBallots,bid164,Aurora2K,Yes
AllBallots,bid165,Aurora2K,No
AllBallots,bid166,Aurora2K,Yes
AllBallots,bid167,Aurora2K,No
AllBallots,bid168,Aurora2K,Yes
AllBallots,bid169,Aurora2K,Yes
AllBallots,bid170,Aurora2K,Yes
AllBallots,bid171,Aurora2K,No
AllBallots,bid172,Aurora2K,Yes
AllBallots,bid173,Aurora2K,No
AllBallots,bid174,Aurora2K,Yes
AllBallots,bid175,Aurora2K,No
AllBallots,bid176,Aurora2K,No
AllBallots,bid177,Aurora2K,No
AllBallots,bid178,Aurora2K,Yes
AllBallots,bid179,Aurora2K,No
AllBallots,bid180,Aurora2K,Yes
AllBallots,bid181,Aurora2K,Yes
AllBallots,bid182,Aurora2K,Yes
AllBallots,bid183,Aurora2K,No
AllBallots,bid184,Aurora2K,Yes
AllBallots,bid185,Aurora2K,No
AllBallots,bid186,Aurora2K,No
AllBallots,bid187,Aurora2K,Yes
AllBallots,bid188,Aurora2K,Yes
AllBallots,bid189,Aurora2K,No
AllBallots,bid190,Aurora2K,No
AllBallots,bid191,Aurora2K,Yes
AllBallots,bid192,Aurora2K,No
AllBallots,bid193,Aurora2K,No
AllBallots,bid194,Aurora2K,Yes
AllBallots,bid195,Aurora2K,Yes
AllBallots,bid196,Aurora2K,Yes
AllBallots,bid197,Aurora2K,No
AllBallots,bid198,Aurora2K,Yes
AllBallots,bid199,Aurora2K,Yes
AllBallots,bid200,Aurora2K,Yes
AllBallots,bid201,Aurora2K,No
AllBallots,bid202,Aurora2K,No
AllBallots,bid203,Aurora2K,No
AllBallots,bid204,Aurora2K,No
AllBallots,bid205,Aurora2K,No
AllBallots,bid206,Aurora2K,Yes
AllBallots,bid207,Aurora2K,Yes
AllBallots,bid208,Aurora2K,No
AllBallots,bid209,Aurora2K,No
AllBallots,bid210,Aurora2K,No
AllBallots,bid211,Aurora2K,Yes
AllBallots,bid212,Aurora2K,No
AllBallots,bid213,Aurora2K,Yes
AllBallots,bid214,Aurora2K,Yes
AllBallots,bid215,Aurora2K,No
AllBallots,bid216,Aurora2K,No
AllBallots,bid217,Aurora2K,No
AllBallots,bid218,Aurora2K,Yes
AllBallots,bid219,Aurora2K,Yes
AllBallots,bid220,Aurora2K,No
AllBallots,bid221,Aurora2K,Yes
AllBallots,bid222,Aurora2K,No
AllBallots,bid223,Aurora2K,No
AllBallots,bid224,Aurora2K,Yes
AllBallots,bid225,Aurora2K,No
AllBallots,bid226,Aurora2K,Yes
AllBallots,bid227,Aurora2K,No
AllBallots,bid228,Aurora2K,Yes
AllBallots,bid229,Aurora2K,Yes
AllBallots,bid230,Aurora2K,Yes
AllBallots,bid231,Aurora2K,Yes
AllBallots,bid232,Aurora2K,Yes
AllBallots,bid233,Aurora2K,No
AllBallots,bid234,Aurora2K,Yes
AllBallots,bid235,Aurora2K,No
AllBallots,bid236,Aurora2K,No
AllBallots,bid237,Aurora2K,No
AllBallots,bid238,Aurora2K,Yes
AllBallots,bid239,Aurora2K,Yes
AllBallots,bid240,Aurora2K,No
AllBallots,bid241,Aurora2K,No
AllBallots,bid242,Aurora2K,Yes
AllBallots,bid243,Aurora2K,Yes
AllBallots,bid244,Aurora2K,No
AllBallots,bid245,Aurora2K,No
AllBallots,bid246,Aurora2K,Yes
AllBallots,bid247,Aurora2K,No
AllBallots,bid248,Aurora2K,No
AllBallots,bid249,Aurora2K,Yes
AllBallots,bid250,Aurora2K,No
AllBallots,bid251,Aurora2K,Yes
AllBallots,bid252,Aurora2K,No
AllBallots,bid253,Aurora2K,No
AllBallots,bid254,Aurora2K,Yes
AllBallots,bid255,Aurora2K,Yes
AllBallots,bid256,Aurora2K,No
AllBallots,bid257,Aurora2K,No
AllBallots,bid258,Aurora2K,Yes
AllBallots,bid259,Aurora2K,Yes
AllBallots,bid260,Aurora2K,No
AllBallots,bid261,Aurora2K,No
AllBallots,bid262,Aurora2K,Yes
AllBallots,bid263,Aurora2K,Yes
AllBallots,bid264,Aurora2K,No
AllBallots,bid265,Aurora2K,Yes
AllBallots,bid266,Aurora2K,No
AllBallots,bid267,Aurora2K,Yes
AllBallots,bid268,Aurora2K,No
AllBallots,bid269,Aurora2K,No
AllBallots,bid270,Aurora2K,Yes
AllBallots,bid271,Aurora2K,Yes
AllBallots,bid272,Aurora2K,No
AllBallots,bid273,Aurora2K,Yes
AllBallots,bid274,Aurora2K,Yes
AllBallots,bid275,Aurora2K,Yes
AllBallots,bid276,Aurora2K,Yes
AllBallots,bid277,Aurora2K,Yes
AllBallots,bid278,Aurora2K,Yes
AllBallots,bid279,Aurora2K,No
AllBallots,bid280,Aurora2K,Yes
AllBallots,bid281,Aurora2K,No
AllBallots,bid282,Aurora2K,Yes
AllBallots,bid283,Aurora2K,Yes
AllBallots,bid284,Aurora2K,No
AllBallots,bid285,Aurora2K,No
AllBallots,bid286,Aurora2K,Yes
AllBallots,bid287,Aurora2K,No
AllBallots,bid288,Aurora2K,No
AllBallots,bid289,Aurora2K,Yes
AllBallots,bid290,Aurora2K,No
AllBallots,bid291,Aurora2K,Yes
AllBallots,bid292,Aurora2K,No
AllBallots,bid293,Aurora2K,Yes
AllBallots,bid294,Aurora2K,No
AllBallots,bid295,Aurora2K,Yes
AllBallots,bid296,Aurora2K,Yes
AllBallots,bid297,Aurora2K,Yes
AllBallots,bid298,Aurora2K,Yes
AllBallots,bid299,Aurora2K,Yes
AllBallots,bid300,Aurora2K,Yes
AllBallots,bid301,Aurora2K,No
AllBallots,bid302,Aurora2K,Yes
AllBallots,bid303,Aurora2K,No
AllBallots,bid304,Aurora2K,Yes
AllBallots,bid305,Aurora2K,Yes
AllBallots,bid306,Aurora2K,Yes
AllBallots,bid307,Aurora2K,Yes
AllBallots,bid308,Aurora2K,No
AllBallots,bid309,Aurora2K,Yes
AllBallots,bid310,Aurora2K,Yes
AllBallots,bid311,Aurora2K,No
AllBallots,bid312,Aurora2K,Yes
AllBallots,bid313,Aurora2K,No
AllBallots,bid314,Aurora2K,No
AllBallots,bid315,Aurora2K,No
AllBallots,bid316,Aurora2K,No
AllBallots,bid317,Aurora2K,Yes
AllBallots,bid318,Aurora2K,Yes
AllBallots,bid319,Aurora2K,No
AllBallots,bid320,Aurora2K,Yes
AllBallots,bid321,Aurora2K,Yes
AllBallots,bid322,Aurora2K,Yes
AllBallots,bid323,Aurora2K,No
AllBallots,bid324,Aurora2K,Yes
AllBallots,bid325,Aurora2K,No
AllBallots,bid326,Aurora2K,No
AllBallots,bid327,Aurora2K,Yes
AllBallots,bid328,Aurora2K,Yes
AllBallots,bid329,Aurora2K,No
AllBallots,bid330,Aurora2K,No
AllBallots,bid331,Aurora2K,Yes
AllBallots,bid332,Aurora2K,No
AllBallots,bid333,Aurora2K,No
AllBallots,bid334,Aurora2K,Yes
AllBallots,bid335,Aurora2K,Yes
AllBallots,bid336,Aurora2K,Yes
AllBallots,bid337,Aurora2K,No
AllBallots,bid338,Aurora2K,No
AllBallots,bid339,Aurora2K,No
AllBallots,bid340,Aurora2K,Yes
AllBallots,bid341,Aurora2K,Yes
AllBallots,bid342,Aurora2K,Yes
AllBallots,bid343,Aurora2K,No
AllBallots,bid344,Aurora2K,Yes
AllBallots,bid345,Aurora2K,No
AllBallots,bid346,Aurora2K,Yes
AllBallots,bid347,Aurora2K,No
AllBallots,bid348,Aurora2K,No
AllBallots,bid349,Aurora2K,Yes
AllBallots,bid350,Aurora2K,No
AllBallots,bid351,Aurora2K,No
AllBallots,bid352,Aurora2K,Yes
AllBallots,bid353,Aurora2K,No
AllBallots,bid354,Aurora2K,No
AllBallots,bid355,Aurora2K,Yes
AllBallots,bid356,Aurora2K,No
AllBallots,bid357,Aurora2K,No
AllBallots,bid358,Aurora2K,No
AllBallots,bid359,Aurora2K,No
AllBallots,bid360,Aurora2K,No
AllBallots,bid361,Aurora2K,Yes
AllBallots,bid362,Aurora2K,Yes
AllBallots,bid363,Aurora2K,No
AllBallots,bid364,Aurora2K,Yes
AllBallots,bid365,Aurora2K,No
AllBallots,bid366,Aurora2K,Yes
AllBallots,bid367,Aurora2K,No
AllBallots,bid368,Aurora2K,No
AllBallots,bid369,Aurora2K,Yes
AllBallots,bid370,Aurora2K,Yes
AllBallots,bid371,Aurora2K,No
AllBallots,bid372,Aurora2K,No
AllBallots,bid373,Aurora2K,Yes
AllBallots,bid374,Aurora2K,No
AllBallots,bid375,Aurora2K,Yes
AllBallots,bid376,Aurora2K,Yes
AllBallots,bid377,Aurora2K,Yes
AllBallots,bid378,Aurora2K,No
AllBallots,bid379,Aurora2K,No
AllBallots,bid380,Aurora2K,No
AllBallots,bid381,Aurora2K,No
AllBallots,bid382,Aurora2K,Yes
AllBallots,bid383,Aurora2K,No
AllBallots,bid384,Aurora2K,Yes
AllBallots,bid385,Aurora2K,No
AllBallots,bid386,Aurora2K,Yes
AllBallots,bid387,Aurora2K,Yes
AllBallots,bid388,Aurora2K,No
AllBallots,bid389,Aurora2K,No
AllBallots,bid390,Aurora2K,No
AllBallots,bid391,Aurora2K,No
AllBallots,bid392,Aurora2K,No
AllBallots,bid393,Aurora2K,Yes
AllBallots,bid394,Aurora2K,No
AllBallots,bid395,Aurora2K,No
AllBallots,bid396,Aurora2K,No
AllBallots,bid397,Aurora2K,No
AllBallots,bid398,Aurora2K,Yes
AllBallots,bid399,Aurora2K,No
AllBallots,bid400,Aurora2K,Yes
AllBallots,bid401,Aurora2K,Yes
AllBallots,bid402,Aurora2K,Yes
AllBallots,bid403,Aurora2K,No
AllBallots,bid404,Aurora2K,No
AllBallots,bid405,Aurora2K,Yes
AllBallots,bid406,Aurora2K,No
AllBallots,bid407,Aurora2K,Yes
AllBallots,bid408,Aurora2K,No
AllBallots,bid409,Aurora2K,Yes
AllBallots,bid410,Aurora2K,No
AllBallots,bid411,Aurora2K,Yes
AllBallots,bid412,Aurora2K,Yes
AllBallots,bid413,Aurora2K,Yes
AllBallots,bid414,Aurora2K,No
AllBallots,bid415,Aurora2K,No
AllBallots,bid416,Aurora2K,No
AllBallots,bid417,Aurora2K,No
AllBallots,bid418,Aurora2K,No
AllBallots,bid419,Aurora2K,No
AllBallots,bid420,Aurora2K,No
AllBallots,bid421,Aurora2K,Yes
AllBallots,bid422,Aurora2K,Yes
AllBallots,bid423,Aurora2K,No
AllBallots,bid424,Aurora2K,Yes
AllBallots,bid425,Aurora2K,No
AllBallots,bid426,Aurora2K,Yes
AllBallots,bid427,Aurora2K,No
AllBallots,bid428,Aurora2K,Yes
AllBallots,bid429,Aurora2K,Yes
AllBallots,bid430,Aurora2K,No
AllBallots,bid431,Aurora2K,No
AllBallots,bid432,Aurora2K,Yes
AllBallots,bid433,Aurora2K,Yes
AllBallots,bid434,Aurora2K,Yes
AllBallots,bid435,Aurora2K,Yes
AllBallots,bid436,Aurora2K,Yes
AllBallots,bid437,Aurora2K,No
AllBallots,bid438,Aurora2K,Yes
AllBallots,bid439,Aurora2K,No
AllBallots,bid440,Aurora2K,No
AllBallots,bid441,Aurora2K,No
AllBallots,bid442,Aurora2K,No
AllBallots,bid443,Aurora2K,Yes
AllBallots,bid444,Aurora2K,No
AllBallots,bid445,Aurora2K,Yes
AllBallots,bid446,Aurora2K,No
AllBallots,bid447,Aurora2K,Yes
AllBallots,bid448,Aurora2K,No
AllBallots,bid449,Aurora2K,Yes
AllBallots,bid450,Aurora2K,No
AllBallots,bid451,Aurora2K,No
AllBallots,bid452,Aurora2K,Yes
AllBallots,bid453,Aurora2K,Yes
AllBallots,bid454,Aurora2K,No
AllBallots,bid455,Aurora2K,No
AllBallots,bid456,Aurora2K,Yes
AllBallots,bid457,Aurora2K,Yes
AllBallots,bid458,Aurora2K,No
AllBallots,bid459,Aurora2K,No
AllBallots,bid460,Aurora2K,Yes
AllBallots,bid461,Aurora2K,No
AllBallots,bid462,Aurora2K,No
AllBallots,bid463,Aurora2K,Yes
AllBallots,bid464,Aurora2K,Yes
AllBallots,bid465,Aurora2K,No
AllBallots,bid466,Aurora2K,No
AllBallots,bid467,Aurora2K,Yes
AllBallots,bid468,Aurora2K,Yes
AllBallots,bid469,Aurora2K,No
AllBallots,bid470,Aurora2K,Yes
AllBallots,bid471,Aurora2K,No
AllBallots,bid472,Aurora2K,No
AllBallots,bid473,Aurora2K,No
AllBallots,bid474,Aurora2K,No
AllBallots,bid475,Aurora2K,Yes
AllBallots,bid476,Aurora2K,No
AllBallots,bid477,Aurora2K,No
AllBallots,bid478,Aurora2K,No
AllBallots,bid479,Aurora2K,No
AllBallots,bid480,Aurora2K,Yes
AllBallots,bid481,Aurora2K,No
AllBallots,bid482,Aurora2K,No
AllBallots,bid483,Aurora2K,Yes
AllBallots,bid484,Aurora2K,No
AllBallots,bid485,Aurora2K,No
AllBallots,bid486,Aurora2K,Yes
AllBallots,bid487,Aurora2K,Yes
AllBallots,bid488,Aurora2K,No
AllBallots,bid489,Aurora2K,Yes
AllBallots,bid490,Aurora2K,No
AllBallots,bid491,Aurora2K,Yes
AllBallots,bid492,Aurora2K,Yes
AllBallots,bid493,Aurora2K,Yes
AllBallots,bid494,Aurora2K,No
AllBallots,bid495,Aurora2K,Yes
AllBallots,bid496,Aurora2K,Yes
AllBallots,bid497,Aurora2K,No
AllBallots,bid498,Aurora2K,Yes
AllBallots,bid499,Aurora2K,Yes
AllBallots,bid500,Aurora2K,No
AllBallots,bid501,Aurora2K,No
AllBallots,bid502,Aurora2K,No
AllBallots,bid503,Aurora2K,Yes
AllBallots,bid504,Aurora2K,Yes
AllBallots,bid505,Aurora2K,Yes
AllBallots,bid506,Aurora2K,No
AllBallots,bid507,Aurora2K,No
AllBallots,bid508,Aurora2K,No
AllBallots,bid509,Aurora2K,Yes
AllBallots,bid510,Aurora2K,No
AllBallots,bid511,Aurora2K,No
AllBallots,bid512,Aurora2K,Yes
AllBallots,bid513,Aurora2K,No
AllBallots,bid514,Aurora2K,No
AllBallots,bid515,Aurora2K,No
AllBallots,bid516,Aurora2K,No
AllBallots,bid517,Aurora2K,Yes
AllBallots,bid518,Aurora2K,Yes
AllBallots,bid519,Aurora2K,No
AllBallots,bid520,Aurora2K,Yes
AllBallots,bid521,Aurora2K,No
AllBallots,bid522,Aurora2K,Yes
AllBallots,bid523,Aurora2K,Yes
AllBallots,bid524,Aurora2K,Yes
AllBallots,bid525,Aurora2K,No
AllBallots,bid526,Aurora2K,No
AllBallots,bid527,Aurora2K,No
AllBallots,bid528,Aurora2K,Yes
AllBallots,bid529,Aurora2K,Yes
AllBallots,bid530,Aurora2K,Yes
AllBallots,bid531,Aurora2K,Yes
AllBallots,bid532,Aurora2K,Yes
AllBallots,bid533,Aurora2K,Yes
AllBallots,bid534,Aurora2K,Yes
AllBallots,bid535,Aurora2K,No
AllBallots,bid536,Aurora2K,Yes
AllBallots,bid537,Aurora2K,Yes
AllBallots,bid538,Aurora2K,Yes
AllBallots,bid539,Aurora2K,No
AllBallots,bid540,Aurora2K,No
AllBallots,bid541,Aurora2K,No
AllBallots,bid542,Aurora2K,No
AllBallots,bid543,Aurora2K,Yes
AllBallots,bid544,Aurora2K,No
AllBallots,bid545,Aurora2K,Yes
AllBallots,bid546,Aurora2K,No
AllBallots,bid547,Aurora2K,Yes
AllBallots,bid548,Aurora2K,No
AllBallots,bid549,Aurora2K,Yes
AllBallots,bid550,Aurora2K,No
AllBallots,bid551,Aurora2K,Yes
AllBallots,bid552,Aurora2K,No
AllBallots,bid553,Aurora2K,No
AllBallots,bid554,Aurora2K,No
AllBallots,bid555,Aurora2K,Yes
AllBallots,bid556,Aurora2K,Yes
AllBallots,bid557,Aurora2K,Yes
AllBallots,bid558,Aurora2K,Yes
AllBallots,bid559,Aurora2K,No
AllBallots,bid560,Aurora2K,No
AllBallots,bid561,Aurora2K,No
AllBallots,bid562,Aurora2K,Yes
AllBallots,bid563,Aurora2K,Yes
AllBallots,bid564,Aurora2K,No
AllBallots,bid565,Aurora2K,Yes
AllBallots,bid566,Aurora2K,Yes
AllBallots,bid567,Aurora2K,No
AllBallots,bid568,Aurora2K,Yes
AllBallots,bid569,Aurora2K,Yes
AllBallots,bid570,Aurora2K,Yes
AllBallots,bid571,Aurora2K,No
AllBallots,bid572,Aurora2K,Yes
AllBallots,bid573,Aurora2K,Yes
AllBallots,bid574,Aurora2K,No
AllBallots,bid575,Aurora2K,No
AllBallots,bid576,Aurora2K,Yes
AllBallots,bid577,Aurora2K,No
AllBallots,bid578,Aurora2K,No
AllBallots,bid579,Aurora2K,No
AllBallots,bid580,Aurora2K,Yes
AllBallots,bid581,Aurora2K,No
AllBallots,bid582,Aurora2K,Yes
AllBallots,bid583,Aurora2K,No
AllBallots,bid584,Aurora2K,No
AllBallots,bid585,Aurora2K,Yes
AllBallots,bid586,Aurora2K,No
AllBallots,bid587,Aurora2K,Yes
AllBallots,bid588,Aurora2K,No
AllBallots,bid589,Aurora2K,No
AllBallots,bid590,Aurora2K,No
AllBallots,bid591,Aurora2K,No
AllBallots,bid592,Aurora2K,Yes
AllBallots,bid593,Aurora2K,Yes
AllBallots,bid594,Aurora2K,No
AllBallots,bid595,Aurora2K,Yes
AllBallots,bid596,Aurora2K,Yes
AllBallots,bid597,Aurora2K,Yes
AllBallots,bid598,Aurora2K,Yes
AllBallots,bid599,Aurora2K,No
AllBallots,bid600,Aurora2K,Yes
AllBallots,bid601,Aurora2K,No
AllBallots,bid602,Aurora2K,Yes
AllBallots,bid603,Aurora2K,Yes
AllBallots,bid604,Aurora2K,No
AllBallots,bid605,Aurora2K,Yes
AllBallots,bid606,Aurora2K,Yes
AllBallots,bid607,Aurora2K,Yes
AllBallots,bid608,Aurora2K,Yes
AllBallots,bid609,Aurora2K,No
AllBallots,bid610,Aurora2K,Yes
AllBallots,bid611,Aurora2K,Yes
AllBallots,bid612,Aurora2K,No
AllBallots,bid613,Aurora2K,Yes
AllBallots,bid614,Aurora2K,Yes
AllBallots,bid615,Aurora2K,No
AllBallots,bid616,Aurora2K,No
AllBallots,bid617,Aurora2K,Yes
AllBallots,bid618,Aurora2K,Yes
AllBallots,bid619,Aurora2K,No
AllBallots,bid620,Aurora2K,No
AllBallots,bid621,Aurora2K,No
AllBallots,bid622,Aurora2K,No
AllBallots,bid623,Aurora2K,No
AllBallots,bid624,Aurora2K,No
AllBallots,bid625,Aurora2K,No
AllBallots,bid626,Aurora2K,Yes
AllBallots,bid627,Aurora2K,No
AllBallots,bid628,Aurora2K,No
AllBallots,bid629,Aurora2K,Yes
AllBallots,bid630,Aurora2K,No
AllBallots,bid631,Aurora2K,No
AllBallots,bid632,Aurora2K,No
AllBallots,bid633,Aurora2K,Yes
AllBallots,bid634,Aurora2K,No
AllBallots,bid635,Aurora2K,Yes
AllBallots,bid636,Aurora2K,No
AllBallots,bid637,Aurora2K,Yes
AllBallots,bid638,Aurora2K,Yes
AllBallots,bid639,Aurora2K,No
AllBallots,bid640,Aurora2K,Yes
AllBallots,bid641,Aurora2K,Yes
AllBallots,bid642,Aurora2K,No
AllBallots,bid643,Aurora2K,No
AllBallots,bid644,Aurora2K,No
AllBallots,bid645,Aurora2K,Yes
AllBallots,bid646,Aurora2K,Yes
AllBallots,bid647,Aurora2K,Yes
AllBallots,bid648,Aurora2K,No
AllBallots,bid649,Aurora2K,Yes
AllBallots,bid650,Aurora2K,No
AllBallots,bid651,Aurora2K,Yes
AllBallots,bid652,Aurora2K,Yes
AllBallots,bid653,Aurora2K,Yes
AllBallots,bid654,Aurora2K,Yes
AllBallots,bid655,Aurora2K,No
AllBallots,bid656,Aurora2K,No
AllBallots,bid657,Aurora2K,Yes
AllBallots,bid658,Aurora2K,Yes
AllBallots,bid659,Aurora2K,Yes
AllBallots,bid660,Aurora2K,Yes
AllBallots,bid661,Aurora2K,Yes
AllBallots,bid662,Aurora2K,Yes
AllBallots,bid663,Aurora2K,Yes
AllBallots,bid664,Aurora2K,No
AllBallots,bid665,Aurora2K,No
AllBallots,bid666,Aurora2K,Yes
AllBallots,bid667,Aurora2K,No
AllBallots,bid668,Aurora2K,No
AllBallots,bid669,Aurora2K,Yes
AllBallots,bid670,Aurora2K,No
AllBallots,bid671,Aurora2K,Yes
AllBallots,bid672,Aurora2K,No
AllBallots,bid673,Aurora2K,No
AllBallots,bid674,Aurora2K,Yes
AllBallots,bid675,Aurora2K,No
AllBallots,bid676,Aurora2K,No
AllBallots,bid677,Aurora2K,Yes
AllBallots,bid678,Aurora2K,No
AllBallots,bid679,Aurora2K,Yes
AllBallots,bid680,Aurora2K,Yes
AllBallots,bid681,Aurora2K,No
AllBallots,bid682,Aurora2K,Yes
AllBallots,bid683,Aurora2K,No
AllBallots,bid684,Aurora2K,No
AllBallots,bid685,Aurora2K,No
AllBallots,bid686,Aurora2K,Yes
AllBallots,bid687,Aurora2K,No
AllBallots,bid688,Aurora2K,No
AllBallots,bid689,Aurora2K,Yes
AllBallots,bid690,Aurora2K,Yes
AllBallots,bid691,Aurora2K,No
AllBallots,bid692,Aurora2K,No
AllBallots,bid693,Aurora2K,No
AllBallots,bid694,Aurora2K,Yes
AllBallots,bid695,Aurora2K,Yes
AllBallots,bid696,Aurora2K,Yes
AllBallots,bid697,Aurora2K,Yes
AllBallots,bid698,Aurora2K,Yes
