Collection,Scanner,Ballot id,Contest,Selections
AllBallots,scanner1,bid57,Aurora2K,No
AllBallots,scanner1,bid58,Aurora2K,No
AllBallots,scanner1,bid59,Aurora2K,Yes
AllBallots,scanner1,bid60,Aurora2K,Yes
AllBallots,scanner1,bid61,Aurora2K,No
AllBallots,scanner1,bid62,Aurora2K,Yes
AllBallots,scanner1,bid63,Aurora2K,Yes
AllBallots,scanner1,bid64,Aurora2K,Yes
AllBallots,scanner1,bid65,Aurora2K,No
AllBallots,scanner1,bid66,Aurora2K,No
AllBallots,scanner1,bid67,Aurora2K,No
AllBallots,scanner1,bid68,Aurora2K,No
AllBallots,scanner1,bid69,Aurora2K,Yes
AllBallots,scanner1,bid70,Aurora2K,No
AllBallots,scanner1,bid71,Aurora2K,Yes
AllBallots,scanner1,bid72,Aurora2K,Yes
AllBallots,scanner1,bid73,Aurora2K,No
AllBallots,scanner1,bid74,Aurora2K,No
AllBallots,scanner1,bid75,Aurora2K,Yes
AllBallots,scanner1,bid76,Aurora2K,No
AllBallots,scanner1,bid77,Aurora2K,No
AllBallots,scanner1,bid78,Aurora2K,No
AllBallots,scanner1,bid79,Aurora2K,Yes
AllBallots,scanner1,bid80,Aurora2K,Yes
AllBallots,scanner1,bid81,Aurora2K,Yes
AllBallots,scanner1,bid82,Aurora2K,Yes
AllBallots,scanner1,bid83,Aurora2K,No
AllBallots,scanner1,bid84,Aurora2K,No
AllBallots,scanner1,bid85,Aurora2K,No
AllBallots,scanner1,bid86,Aurora2K,Yes
AllBallots,scanner1,bid87,Aurora2K,No
AllBallots,scanner1,bid88,Aurora2K,No
AllBallots,scanner1,bid89,Aurora2K,Yes
AllBallots,scanner1,bid90,Aurora2K,Yes
AllBallots,scanner1,bid91,Aurora2K,Yes
AllBallots,scanner1,bid92,Aurora2K,No
AllBallots,scanner1,bid93,Aurora2K,No
AllBallots,scanner1,bid94,Aurora2K,Yes
AllBallots,scanner1,bid95,Aurora2K,No
AllBallots,scanner1,bid96,Aurora2K,No
AllBallots,scanner1,bid97,Aurora2K,Yes
AllBallots,scanner1,bid98,Aurora2K,No
AllBallots,scanner1,bid99,Aurora2K,No
AllBallots,scanner1,bid100,Aurora2K,No
AllBallots,scanner1,bid101,Aurora2K,No
AllBallots,scanner1,bid102,Aurora2K,Yes
AllBallots,scanner1,bid103,Aurora2K,Yes
AllBallots,scanner1,bid104,Aurora2K,Yes
AllBallots,scanner1,bid105,Aurora2K,Yes
AllBallots,scanner1,bid106,Aurora2K,Yes
AllBallots,scanner1,bid107,Aurora2K,Yes
AllBallots,scanner1,bid108,Aurora2K,No
AllBallots,scanner1,bid109,Aurora2K,Yes
AllBallots,scanner1,bid110,Aurora2K,No
AllBallots,scanner1,bid111,Aurora2K,No
AllBallots,scanner1,bid112,Aurora2K,No
AllBallots,scanner1,bid113,Aurora2K,No
AllBallots,scanner1,bid114,Aurora2K,Yes
AllBallots,scanner1,bid115,Aurora2K,Yes
AllBallots,scanner1,bid116,Aurora2K,No
AllBallots,scanner1,bid117,Aurora2K,Yes
AllBallots,scanner1,bid118,Aurora2K,No
AllBallots,scanner1,bid119,Aurora2K,Yes
AllBallots,scanner1,bid120,Aurora2K,Yes
AllBallots,scanner1,bid121,Aurora2K,Yes
AllBallots,scanner1,bid122,Aurora2K,No
AllBallots,scanner1,bid123,Aurora2K,No
AllBallots,scanner1,bid124,Aurora2K,No
AllBallots,scanner1,bid125,Aurora2K,Yes
AllBallots,scanner1,bid126,Aurora2K,No
AllBallots,scanner1,bid127,Aurora2K,No
AllBallots,scanner1,bid128,Aurora2K,No
AllBallots,scanner1,bid129,Aurora2K,Yes
AllBallots,scanner1,bid130,Aurora2K,No
AllBallots,scanner1,bid131,Aurora2K,No
AllBallots,scanner1,bid132,Aurora2K,No
AllBallots,scanner1,bid133,Aurora2K,Yes
AllBallots,scanner1,bid134,Aurora2K,Yes
AllBallots,scanner1,bid135,Aurora2K,Yes
AllBallots,scanner1,bid136,Aurora2K,Yes
AllBallots,scanner1,bid137,Aurora2K,Yes
AllBallots,scanner1,bid138,Aurora2K,Yes
AllBallots,scanner1,bid139,Aurora2K,Yes
AllBallots,scanner1,bid140,Aurora2K,Yes
AllBallots,scanner1,bid141,Aurora2K,Yes
AllBallots,scanner1,bid142,Aurora2K,Yes
AllBallots,scanner1,bid143,Aurora2K,No
AllBallots,scanner1,bid144,Aurora2K,No
AllBallots,scanner1,bid145,Aurora2K,No
AllBallots,scanner1,bid146,Aurora2K,No
AllBallots,scanner1,bid147,Aurora2K,No
AllBallots,scanner1,bid148,Aurora2K,No
AllBallots,scanner1,bid149,Aurora2K,Yes
AllBallots,scanner1,bid150,Aurora2K,Yes
AllBallots,scanner1,bid151,Aurora2K,No
AllBallots,scanner1,bid152,Aurora2K,Yes
AllBallots,scanner1,bid153,Aurora2K,Yes
AllBallots,scanner1,bid154,Aurora2K,No
AllBallots,scanner1,bid155,Aurora2K,Yes
AllBallots,scanner1,bid156,Aurora2K,Yes
AllBallots,scanner1,bid157,Aurora2K,Yes
AllBallots,scanner1,bid158,Aurora2K,Yes
AllBallots,scanner1,bid159,Aurora2K,No
AllBallots,scanner1,bid160,Aurora2K,Yes
AllBallots,scanner1,bid161,Aurora2K,No
AllBallots,scanner1,bid162,Aurora2K,Yes
AllBallots,scanner1,bid163,Aurora2K,Yes
AllBallots,scanner1,bid164,Aurora2K,Yes
AllBallots,scanner1,bid165,Aurora2K,No
AllBallots,scanner1,bid166,Aurora2K,Yes
AllBallots,scanner1,bid167,Aurora2K,No
AllBallots,scanner1,bid168,Aurora2K,Yes
AllBallots,scanner1,bid169,Aurora2K,Yes
AllBallots,scanner1,bid170,Aurora2K,Yes
AllBallots,scanner1,bid171,Aurora2K,No
AllBallots,scanner1,bid172,Aurora2K,Yes
AllBallots,scanner1,bid173,Aurora2K,No
AllBallots,scanner1,bid174,Aurora2K,Yes
AllBallots,scanner1,bid175,Aurora2K,No
AllBallots,scanner1,bid176,Aurora2K,No
AllBallots,scanner1,bid177,Aurora2K,No
AllBallots,scanner1,bid178,Aurora2K,Yes
AllBallots,scanner1,bid179,Aurora2K,No
AllBallots,scanner1,bid180,Aurora2K,Yes
AllBallots,scanner1,bid181,Aurora2K,Yes
AllBallots,scanner1,bid182,Aurora2K,Yes
AllBallots,scanner1,bid183,Aurora2K,No
AllBallots,scanner1,bid184,Aurora2K,Yes
AllBallots,scanner1,bid185,Aurora2K,No
AllBallots,scanner1,bid186,Aurora2K,No
AllBallots,scanner1,bid187,Aurora2K,Yes
AllBallots,scanner1,bid188,Aurora2K,Yes
AllBallots,scanner1,bid189,Aurora2K,No
AllBallots,scanner1,bid190,Aurora2K,No
AllBallots,scanner1,bid191,Aurora2K,Yes
AllBallots,scanner1,bid192,Aurora2K,No
AllBallots,scanner1,bid193,Aurora2K,No
AllBallots,scanner1,bid194,Aurora2K,Yes
AllBallots,scanner1,bid195,Aurora2K,Yes
AllBallots,scanner1,bid196,Aurora2K,Yes
AllBallots,scanner1,bid197,Aurora2K,No
AllBallots,scanner1,bid198,Aurora2K,Yes
AllBallots,scanner1,bid199,Aurora2K,Yes
AllBallots,scanner1,bid200,Aurora2K,Yes
AllBallots,scanner1,bid201,Aurora2K,No
AllBallots,scanner1,bid202,Aurora2K,No
AllBallots,scanner1,bid203,Aurora2K,No
AllBallots,scanner1,bid204,Aurora2K,No
AllBallots,scanner1,bid205,Aurora2K,No
AllBallots,scanner1,bid206,Aurora2K,Yes
AllBallots,scanner1,bid207,Aurora2K,Yes
AllBallots,scanner1,bid208,Aurora2K,No
AllBallots,scanner1,bid209,Aurora2K,No
AllBallots,scanner1,bid210,Aurora2K,No
AllBallots,scanner1,bid211,Aurora2K,Yes
AllBallots,scanner1,bid212,Aurora2K,No
AllBallots,scanner1,bid213,Aurora2K,Yes
AllBallots,scanner1,bid214,Aurora2K,Yes
AllBallots,scanner1,bid215,Aurora2K,No
AllBallots,scanner1,bid216,Aurora2K,No
AllBallots,scanner1,bid217,Aurora2K,No
AllBallots,scanner1,bid218,Aurora2K,Yes
AllBallots,scanner1,bid219,Aurora2K,Yes
AllBallots,scanner1,bid220,Aurora2K,No
AllBallots,scanner1,bid221,Aurora2K,Yes
AllBallots,scanner1,bid222,Aurora2K,No
AllBallots,scanner1,bid223,Aurora2K,No
AllBallots,scanner1,bid224,Aurora2K,Yes
AllBallots,scanner1,bid225,Aurora2K,No
AllBallots,scanner1,bid226,Aurora2K,Yes
AllBallots,scanner1,bid227,Aurora2K,No
AllBallots,scanner1,bid228,Aurora2K,Yes
AllBallots,scanner1,bid229,Aurora2K,Yes
AllBallots,scanner1,bid230,Aurora2K,Yes
AllBallots,scanner1,bid231,Aurora2K,Yes
AllBallots,scanner1,bid232,Aurora2K,Yes
AllBallots,scanner1,bid233,Aurora2K,No
AllBallots,scanner1,bid234,Aurora2K,Yes
AllBallots,scanner1,bid235,Aurora2K,No
AllBallots,scanner1,bid236,Aurora2K,No
AllBallots,scanner1,bid237,Aurora2K,No
AllBallots,scanner1,bid238,Aurora2K,Yes
AllBallots,scanner1,bid239,Aurora2K,Yes
AllBallots,scanner1,bid240,Aurora2K,No
AllBallots,scanner1,bid241,Aurora2K,No
AllBallots,scanner1,bid242,Aurora2K,Yes
AllBallots,scanner1,bid243,Aurora2K,Yes
AllBallots,scanner1,bid244,Aurora2K,No
AllBallots,scanner1,bid245,Aurora2K,No
AllBallots,scanner1,bid246,Aurora2K,Yes
AllBallots,scanner1,bid247,Aurora2K,No
AllBallots,scanner1,bid248,Aurora2K,No
AllBallots,scanner1,bid249,Aurora2K,Yes
AllBallots,scanner1,bid250,Aurora2K,No
AllBallots,scanner1,bid251,Aurora2K,Yes
AllBallots,scanner1,bid252,Aurora2K,No
AllBallots,scanner1,bid253,Aurora2K,No
AllBallots,scanner1,bid254,Aurora2K,Yes
AllBallots,scanner1,bid255,Aurora2K,Yes
AllBallots,scanner1,bid256,Aurora2K,No
AllBallots,scanner1,bid257,Aurora2K,No
AllBallots,scanner1,bid258,Aurora2K,Yes
AllBallots,scanner1,bid259,Aurora2K,Yes
AllBallots,scanner1,bid260,Aurora2K,No
AllBallots,scanner1,bid261,Aurora2K,No
AllBallots,scanner1,bid262,Aurora2K,Yes
AllBallots,scanner1,bid263,Aurora2K,Yes
AllBallots,scanner1,bid264,Aurora2K,No
AllBallots,scanner1,bid265,Aurora2K,Yes
AllBallots,scanner1,bid266,Aurora2K,No
AllBallots,scanner1,bid267,Aurora2K,Yes
AllBallots,scanner1,bid268,Aurora2K,No
AllBallots,scanner1,bid269,Aurora2K,No
AllBallots,scanner1,bid270,Aurora2K,Yes
AllBallots,scanner1,bid271,Aurora2K,Yes
AllBallots,scanner1,bid272,Aurora2K,No
AllBallots,scanner1,bid273,Aurora2K,Yes
AllBallots,scanner1,bid274,Aurora2K,Yes
AllBallots,scanner1,bid275,Aurora2K,Yes
AllBallots,scanner1,bid276,Aurora2K,Yes
AllBallots,scanner1,bid277,Aurora2K,Yes
AllBallots,scanner1,bid278,Aurora2K,Yes
AllBallots,scanner1,bid279,Aurora2K,No
AllBallots,scanner1,bid280,Aurora2K,Yes
AllBallots,scanner1,bid281,Aurora2K,No
AllBallots,scanner1,bid282,Aurora2K,Yes
AllBallots,scanner1,bid283,Aurora2K,Yes
AllBallots,scanner1,bid284,Aurora2K,No
AllBallots,scanner1,bid285,Aurora2K,No
AllBallots,scanner1,bid286,Aurora2K,Yes
AllBallots,scanner1,bid287,Aurora2K,No
AllBallots,scanner1,bid288,Aurora2K,No
AllBallots,scanner1,bid289,Aurora2K,Yes
AllBallots,scanner1,bid290,Aurora2K,No
AllBallots,scanner1,bid291,Aurora2K,Yes
AllBallots,scanner1,bid292,Aurora2K,No
AllBallots,scanner1,bid293,Aurora2K,Yes
AllBallots,scanner1,bid294,Aurora2K,No
AllBallots,scanner1,bid295,Aurora2K,Yes
AllBallots,scanner1,bid296,Aurora2K,Yes
AllBallots,scanner1,bid297,Aurora2K,Yes
AllBallots,scanner1,bid298,Aurora2K,Yes
AllBallots,scanner1,bid299,Aurora2K,Yes
AllBallots,scanner1,bid300,Aurora2K,Yes
AllBallots,scanner1,bid301,Aurora2K,No
AllBallots,scanner1,bid302,Aurora2K,Yes
AllBallots,scanner1,bid303,Aurora2K,No
AllBallots,scanner1,bid304,Aurora2K,Yes
AllBallots,scanner1,bid305,Aurora2K,Yes
AllBallots,scanner1,bid306,Aurora2K,Yes
AllBallots,scanner1,bid307,Aurora2K,Yes
AllBallots,scanner1,bid308,Aurora2K,No
AllBallots,scanner1,bid309,Aurora2K,Yes
AllBallots,scanner1,bid310,Aurora2K,Yes
AllBallots,scanner1,bid311,Aurora2K,No
AllBallots,scanner1,bid312,Aurora2K,Yes
AllBallots,scanner1,bid313,Aurora2K,No
AllBallots,scanner1,bid314,Aurora2K,No
AllBallots,scanner1,bid315,Aurora2K,No
AllBallots,scanner1,bid316,Aurora2K,No
AllBallots,scanner1,bid317,Aurora2K,Yes
AllBallots,scanner1,bid318,Aurora2K,Yes
AllBallots,scanner1,bid319,Aurora2K,No
AllBallots,scanner1,bid320,Aurora2K,Yes
AllBallots,scanner1,bid321,Aurora2K,Yes
AllBallots,scanner1,bid322,Aurora2K,Yes
AllBallots,scanner1,bid323,Aurora2K,No
AllBallots,scanner1,bid324,Aurora2K,Yes
AllBallots,scanner1,bid325,Aurora2K,No
AllBallots,scanner1,bid326,Aurora2K,No
AllBallots,scanner1,bid327,Aurora2K,Yes
AllBallots,scanner1,bid328,Aurora2K,Yes
AllBallots,scanner1,bid329,Aurora2K,No
AllBallots,scanner1,bid330,Aurora2K,No
AllBallots,scanner1,bid331,Aurora2K,Yes
AllBallots,scanner1,bid332,Aurora2K,No
AllBallots,scanner1,bid333,Aurora2K,No
AllBallots,scanner1,bid334,Aurora2K,Yes
AllBallots,scanner1,bid335,Aurora2K,Yes
AllBallots,scanner1,bid336,Aurora2K,Yes
AllBallots,scanner1,bid337,Aurora2K,No
AllBallots,scanner1,bid338,Aurora2K,No
AllBallots,scanner1,bid339,Aurora2K,No
AllBallots,scanner1,bid340,Aurora2K,Yes
AllBallots,scanner1,bid341,Aurora2K,Yes
AllBallots,scanner1,bid342,Aurora2K,Yes
AllBallots,scanner1,bid343,Aurora2K,No
AllBallots,scanner1,bid344,Aurora2K,Yes
AllBallots,scanner1,bid345,Aurora2K,No
AllBallots,scanner1,bid346,Aurora2K,Yes
AllBallots,scanner1,bid347,Aurora2K,No
AllBallots,scanner1,bid348,Aurora2K,No
AllBallots,scanner1,bid349,Aurora2K,Yes
AllBallots,scanner1,bid350,Aurora2K,No
AllBallots,scanner1,bid351,Aurora2K,No
AllBallots,scanner1,bid352,Aurora2K,Yes
AllBallots,scanner1,bid353,Aurora2K,No
AllBallots,scanner1,bid354,Aurora2K,No
AllBallots,scanner1,bid355,Aurora2K,Yes
AllBallots,scanner1,bid356,Aurora2K,No
AllBallots,scanner1,bid357,Aurora2K,No
AllBallots,scanner1,bid358,Aurora2K,No
AllBallots,scanner1,bid359,Aurora2K,No
AllBallots,scanner1,bid360,Aurora2K,No
AllBallots,scanner1,bid361,Aurora2K,Yes
AllBallots,scanner1,bid362,Aurora2K,Yes
AllBallots,scanner1,bid363,Aurora2K,No
AllBallots,scanner1,bid364,Aurora2K,Yes
AllBallots,scanner1,bid365,Aurora2K,No
AllBallots,scanner1,bid366,Aurora2K,Yes
AllBallots,scanner1,bid367,Aurora2K,No
AllBallots,scanner1,bid368,Aurora2K,No
AllBallots,scanner1,bid369,Aurora2K,Yes
AllBallots,scanner1,bid370,Aurora2K,Yes
AllBallots,scanner1,bid371,Aurora2K,No
AllBallots,scanner1,bid372,Aurora2K,No
AllBallots,scanner1,bid373,Aurora2K,Yes
AllBallots,scanner1,bid374,Aurora2K,No
AllBallots,scanner1,bid375,Aurora2K,Yes
AllBallots,scanner1,bid376,Aurora2K,Yes
AllBallots,scanner1,bid377,Aurora2K,Yes
AllBallots,scanner1,bid378,Aurora2K,No
AllBallots,scanner1,bid379,Aurora2K,No
AllBallots,scanner1,bid380,Aurora2K,No
AllBallots,scanner1,bid381,Aurora2K,No
AllBallots,scanner1,bid382,Aurora2K,Yes
AllBallots,scanner1,bid383,Aurora2K,No
AllBallots,scanner1,bid384,Aurora2K,Yes
AllBallots,scanner1,bid385,Aurora2K,No
AllBallots,scanner1,bid386,Aurora2K,Yes
AllBallots,scanner1,bid387,Aurora2K,Yes
AllBallots,scanner1,bid388,Aurora2K,No
AllBallots,scanner1,bid389,Aurora2K,No
AllBallots,scanner1,bid390,Aurora2K,No
AllBallots,scanner1,bid391,Aurora2K,No
AllBallots,scanner1,bid392,Aurora2K,No
AllBallots,scanner1,bid393,Aurora2K,Yes
AllBallots,scanner1,bid394,Aurora2K,No
AllBallots,scanner1,bid395,Aurora2K,No
AllBallots,scanner1,bid396,Aurora2K,No
AllBallots,scanner1,bid397,Aurora2K,No
AllBallots,scanner1,bid398,Aurora2K,Yes
AllBallots,scanner1,bid399,Aurora2K,No
AllBallots,scanner1,bid400,Aurora2K,Yes
AllBallots,scanner1,bid401,Aurora2K,Yes
AllBallots,scanner1,bid402,Aurora2K,Yes
AllBallots,scanner1,bid403,Aurora2K,No
AllBallots,scanner1,bid404,Aurora2K,No
AllBallots,scanner1,bid405,Aurora2K,Yes
AllBallots,scanner1,bid406,Aurora2K,No
AllBallots,scanner1,bid407,Aurora2K,Yes
AllBallots,scanner1,bid408,Aurora2K,No
AllBallots,scanner1,bid409,Aurora2K,Yes
AllBallots,scanner1,bid410,Aurora2K,No
AllBallots,scanner1,bid411,Aurora2K,Yes
AllBallots,scanner1,bid412,Aurora2K,Yes
AllBallots,scanner1,bid413,Aurora2K,Yes
AllBallots,scanner1,bid414,Aurora2K,No
AllBallots,scanner1,bid415,Aurora2K,No
AllBallots,scanner1,bid416,Aurora2K,No
AllBallots,scanner1,bid417,Aurora2K,No
AllBallots,scanner1,bid418,Aurora2K,No
AllBallots,scanner1,bid419,Aurora2K,No
AllBallots,scanner1,bid420,Aurora2K,No
AllBallots,scanner1,bid421,Aurora2K,Yes
AllBallots,scanner1,bid422,Aurora2K,Yes
AllBallots,scanner1,bid423,Aurora2K,No
AllBallots,scanner1,bid424,Aurora2K,Yes
AllBallots,scanner1,bid425,Aurora2K,No
AllBallots,scanner1,bid426,Aurora2K,Yes
AllBallots,scanner1,bid427,Aurora2K,No
AllBallots,scanner1,bid428,Aurora2K,Yes
AllBallots,scanner1,bid429,Aurora2K,Yes
AllBallots,scanner1,bid430,Aurora2K,No
AllBallots,scanner1,bid431,Aurora2K,No
AllBallots,scanner1,bid432,Aurora2K,Yes
AllBallots,scanner1,bid433,Aurora2K,Yes
AllBallots,scanner1,bid434,Aurora2K,Yes
AllBallots,scanner1,bid435,Aurora2K,Yes
AllBallots,scanner1,bid436,Aurora2K,Yes
AllBallots,scanner1,bid437,Aurora2K,No
AllBallots,scanner1,bid438,Aurora2K,Yes
AllBallots,scanner1,bid439,Aurora2K,No
AllBallots,scanner1,bid440,Aurora2K,No
AllBallots,scanner1,bid441,Aurora2K,No
AllBallots,scanner1,bid442,Aurora2K,No
AllBallots,scanner1,bid443,Aurora2K,Yes
AllBallots,scanner1,bid444,Aurora2K,No
AllBallots,scanner1,bid445,Aurora2K,Yes
AllBallots,scanner1,bid446,Aurora2K,No
AllBallots,scanner1,bid447,Aurora2K,Yes
AllBallots,scanner1,bid448,Aurora2K,No
AllBallots,scanner1,bid449,Aurora2K,Yes
AllBallots,scanner1,bid450,Aurora2K,No
AllBallots,scanner1,bid451,Aurora2K,No
AllBallots,scanner1,bid452,Aurora2K,Yes
AllBallots,scanner1,bid453,Aurora2K,Yes
AllBallots,scanner1,bid454,Aurora2K,No
AllBallots,scanner1,bid455,Aurora2K,No
AllBallots,scanner1,bid456,Aurora2K,Yes
AllBallots,scanner1,bid457,Aurora2K,Yes
AllBallots,scanner1,bid458,Aurora2K,No
AllBallots,scanner1,bid459,Aurora2K,No
AllBallots,scanner1,bid460,Aurora2K,Yes
AllBallots,scanner1,bid461,Aurora2K,No
AllBallots,scanner1,bid462,Aurora2K,No
AllBallots,scanner1,bid463,Aurora2K,Yes
AllBallots,scanner1,bid464,Aurora2K,Yes
AllBallots,scanner1,bid465,Aurora2K,No
AllBallots,scanner1,bid466,Aurora2K,No
AllBallots,scanner1,bid467,Aurora2K,Yes
AllBallots,scanner1,bid468,Aurora2K,Yes
AllBallots,scanner1,bid469,Aurora2K,No
AllBallots,scanner1,bid470,Aurora2K,Yes
AllBallots,scanner1,bid471,Aurora2K,No
AllBallots,scanner1,bid472,Aurora2K,No
AllBallots,scanner1,bid473,Aurora2K,No
AllBallots,scanner1,bid474,Aurora2K,No
AllBallots,scanner1,bid475,Aurora2K,Yes
AllBallots,scanner1,bid476,Aurora2K,No
AllBallots,scanner1,bid477,Aurora2K,No
AllBallots,scanner1,bid478,Aurora2K,No
AllBallots,scanner1,bid479,Aurora2K,No
AllBallots,scanner1,bid480,Aurora2K,Yes
AllBallots,scanner1,bid481,Aurora2K,No
AllBallots,scanner1,bid482,Aurora2K,No
AllBallots,scanner1,bid483,Aurora2K,Yes
AllBallots,scanner1,bid484,Aurora2K,No
AllBallots,scanner1,bid485,Aurora2K,No
AllBallots,scanner1,bid486,Aurora2K,Yes
AllBallots,scanner1,bid487,Aurora2K,Yes
AllBallots,scanner1,bid488,Aurora2K,No
AllBallots,scanner1,bid489,Aurora2K,Yes
AllBallots,scanner1,bid490,Aurora2K,No
AllBallots,scanner1,bid491,Aurora2K,Yes
AllBallots,scanner1,bid492,Aurora2K,Yes
AllBallots,scanner1,bid493,Aurora2K,Yes
AllBallots,scanner1,bid494,Aurora2K,No
AllBallots,scanner1,bid495,Aurora2K,Yes
AllBallots,scanner1,bid496,Aurora2K,Yes
AllBallots,scanner1,bid497,Aurora2K,No
AllBallots,scanner1,bid498,Aurora2K,Yes
AllBallots,scanner1,bid499,Aurora2K,Yes
AllBallots,scanner1,bid500,Aurora2K,No
AllBallots,scanner1,bid501,Aurora2K,No
AllBallots,scanner1,bid502,Aurora2K,No
AllBallots,scanner1,bid503,Aurora2K,Yes
AllBallots,scanner1,bid504,Aurora2K,Yes
AllBallots,scanner1,bid505,Aurora2K,Yes
AllBallots,scanner1,bid506,Aurora2K,No
AllBallots,scanner1,bid507,Aurora2K,No
AllBallots,scanner1,bid508,Aurora2K,No
AllBallots,scanner1,bid509,Aurora2K,Yes
AllBallots,scanner1,bid510,Aurora2K,No
AllBallots,scanner1,bid511,Aurora2K,No
AllBallots,scanner1,bid512,Aurora2K,Yes
AllBallots,scanner1,bid513,Aurora2K,No
AllBallots,scanner1,bid514,Aurora2K,No
AllBallots,scanner1,bid515,Aurora2K,No
AllBallots,scanner1,bid516,Aurora2K,No
AllBallots,scanner1,bid517,Aurora2K,Yes
AllBallots,scanner1,bid518,Aurora2K,Yes
AllBallots,scanner1,bid519,Aurora2K,No
AllBallots,scanner1,bid520,Aurora2K,Yes
AllBallots,scanner1,bid521,Aurora2K,No
AllBallots,scanner1,bid522,Aurora2K,Yes
AllBallots,scanner1,bid523,Aurora2K,Yes
AllBallots,scanner1,bid524,Aurora2K,Yes
AllBallots,scanner1,bid525,Aurora2K,No
AllBallots,scanner1,bid526,Aurora2K,No
AllBallots,scanner1,bid527,Aurora2K,No
AllBallots,scanner1,bid528,Aurora2K,Yes
AllBallots,scanner1,bid529,Aurora2K,Yes
AllBallots,scanner1,bid530,Aurora2K,Yes
AllBallots,scanner1,bid531,Aurora2K,Yes
AllBallots,scanner1,bid532,Aurora2K,Yes
AllBallots,scanner1,bid533,Aurora2K,Yes
AllBallots,scanner1,bid534,Aurora2K,Yes
AllBallots,scanner1,bid535,Aurora2K,No
AllBallots,scanner1,bid536,Aurora2K,Yes
AllBallots,scanner1,bid537,Aurora2K,Yes
AllBallots,scanner1,bid538,Aurora2K,Yes
AllBallots,scanner1,bid539,Aurora2K,No
AllBallots,scanner1,bid540,Aurora2K,No
AllBallots,scanner1,bid541,Aurora2K,No
AllBallots,scanner1,bid542,Aurora2K,No
AllBallots,scanner1,bid543,Aurora2K,Yes
AllBallots,scanner1,bid544,Aurora2K,No
AllBallots,scanner1,bid545,Aurora2K,Yes
AllBallots,scanner1,bid546,Aurora2K,No
AllBallots,scanner1,bid547,Aurora2K,Yes
AllBallots,scanner1,bid548,Aurora2K,No
AllBallots,scanner1,bid549,Aurora2K,Yes
AllBallots,scanner1,bid550,Aurora2K,No
AllBallots,scanner1,bid551,Aurora2K,Yes
AllBallots,scanner1,bid552,Aurora2K,No
AllBallots,scanner1,bid553,Aurora2K,No
AllBallots,scanner1,bid554,Aurora2K,No
AllBallots,scanner1,bid555,Aurora2K,Yes
AllBallots,scanner1,bid556,Aurora2K,Yes
AllBallots,scanner1,bid557,Aurora2K,Yes
AllBallots,scanner1,bid558,Aurora2K,Yes
