Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
68,pbcid1,box1,1680,,bid4980,,
69,pbcid1,box1,2351,,bid2351,,
70,pbcid1,box1,2612,,bid5912,,
71,pbcid1,box1,1127,,bid4427,,
72,pbcid1,box1,2733,,bid6033,,
73,pbcid1,box1,2670,,bid5970,,
74,pbcid1,box1,1851,,bid1851,,
75,pbcid1,box1,2808,,bid2808,,
76,pbcid1,box1,1853,,bid5153,,
77,pbcid1,box1,1591,,bid1591,,
78,pbcid1,box1,531,,bid3831,,
79,pbcid1,box1,1328,,bid1328,,
80,pbcid1,box1,152,,bid3452,,
81,pbcid1,box1,2892,,bid2892,,
82,pbcid1,box1,1429,,bid4729,,
83,pbcid1,box1,1520,,bid1520,,
84,pbcid1,box1,230,,bid230,,
85,pbcid1,box1,12,,bid12,,
86,pbcid1,box1,906,,bid906,,
87,pbcid1,box1,1378,,bid4678,,
88,pbcid1,box1,514,,bid3814,,
89,pbcid1,box1,1892,,bid1892,,
90,pbcid1,box1,1153,,bid4453,,
91,pbcid1,box1,2400,,bid2400,,
92,pbcid1,box1,1378,,bid1378,,
93,pbcid1,box1,2720,,bid6020,,
94,pbcid1,box1,1633,,bid1633,,
95,pbcid1,box1,122,,bid122,,
96,pbcid1,box1,1477,,bid4777,,
97,pbcid1,box1,2050,,bid5350,,
98,pbcid1,box1,1912,,bid5212,,
99,pbcid1,box1,1692,,bid1692,,
100,pbcid1,box1,933,,bid933,,
101,pbcid1,box1,2834,,bid6134,,
102,pbcid1,box1,346,,bid3646,,
103,pbcid1,box1,2010,,bid2010,,
104,pbcid1,box1,1872,,bid1872,,
105,pbcid1,box1,703,,bid4003,,
106,pbcid1,box1,2059,,bid2059,,
107,pbcid1,box1,334,,bid3634,,
108,pbcid1,box1,1185,,bid1185,,
109,pbcid1,box1,161,,bid3461,,
110,pbcid1,box1,32,,bid32,,
111,pbcid1,box1,3145,,bid3145,,
112,pbcid1,box1,539,,bid3839,,
113,pbcid1,box1,546,,bid546,,
114,pbcid1,box1,1622,,bid4922,,
115,pbcid1,box1,2551,,bid5851,,
116,pbcid1,box1,1369,,bid4669,,
117,pbcid1,box1,1622,,bid1622,,
118,pbcid1,box1,1974,,bid5274,,
119,pbcid1,box1,1284,,bid1284,,
120,pbcid1,box1,1736,,bid5036,,
121,pbcid1,box1,1038,,bid1038,,
122,pbcid1,box1,641,,bid3941,,
123,pbcid1,box1,2470,,bid2470,,
124,pbcid1,box1,802,,bid4102,,
125,pbcid1,box1,1806,,bid5106,,
126,pbcid1,box1,2046,,bid2046,,
127,pbcid1,box1,2022,,bid2022,,
128,pbcid1,box1,1958,,bid1958,,
129,pbcid1,box1,1598,,bid4898,,
130,pbcid1,box1,1129,,bid1129,,
131,pbcid1,box1,2987,,bid2987,,
132,pbcid1,box1,2030,,bid5330,,
133,pbcid1,box1,2689,,bid5989,,
134,pbcid1,box1,2198,,bid5498,,
135,pbcid1,box1,3042,,bid3042,,
136,pbcid1,box1,2542,,bid5842,,
137,pbcid1,box1,2973,,bid6273,,
138,pbcid1,box1,1890,,bid1890,,
139,pbcid1,box1,3121,,bid3121,,
140,pbcid1,box1,1050,,bid1050,,
141,pbcid1,box1,1358,,bid4658,,
142,pbcid1,box1,317,,bid317,,
143,pbcid1,box1,897,,bid4197,,
144,pbcid1,box1,205,,bid3505,,
145,pbcid1,box1,844,,bid844,,
146,pbcid1,box1,2729,,bid2729,,
147,pbcid1,box1,2773,,bid6073,,
148,pbcid1,box1,355,,bid355,,
149,pbcid1,box1,178,,bid3478,,
150,pbcid1,box1,2289,,bid2289,,
151,pbcid1,box1,1178,,bid4478,,
152,pbcid1,box1,36,,bid36,,
153,pbcid1,box1,2308,,bid2308,,
154,pbcid1,box1,1394,,bid4694,,
155,pbcid1,box1,1691,,bid4991,,
156,pbcid1,box1,362,,bid362,,
157,pbcid1,box1,2552,,bid2552,,
158,pbcid1,box1,2600,,bid2600,,
159,pbcid1,box1,1617,,bid1617,,
160,pbcid1,box1,1726,,bid5026,,
161,pbcid1,box1,1398,,bid1398,,
162,pbcid1,box1,2476,,bid2476,,
163,pbcid1,box1,487,,bid487,,
164,pbcid1,box1,2780,,bid6080,,
165,pbcid1,box1,1547,,bid1547,,
166,pbcid1,box1,1728,,bid1728,,
167,pbcid1,box1,1251,,bid4551,,
168,pbcid1,box1,1822,,bid5122,,
169,pbcid1,box1,1756,,bid5056,,
170,pbcid1,box1,961,,bid961,,
171,pbcid1,box1,951,,bid4251,,
172,pbcid1,box1,917,,bid4217,,
173,pbcid1,box1,108,,bid108,,
174,pbcid1,box1,2705,,bid6005,,
175,pbcid1,box1,835,,bid835,,
176,pbcid1,box1,2006,,bid5306,,
177,pbcid1,box1,1002,,bid1002,,
178,pbcid1,box1,775,,bid4075,,
179,pbcid1,box1,757,,bid4057,,
180,pbcid1,box1,2894,,bid2894,,
181,pbcid1,box1,2670,,bid2670,,
182,pbcid1,box1,1546,,bid1546,,
183,pbcid1,box1,2023,,bid2023,,
184,pbcid1,box1,2230,,bid2230,,
185,pbcid1,box1,2835,,bid6135,,
186,pbcid1,box1,1716,,bid5016,,
187,pbcid1,box1,2917,,bid2917,,
188,pbcid1,box1,408,,bid408,,
189,pbcid1,box1,742,,bid4042,,
190,pbcid1,box1,1978,,bid5278,,
191,pbcid1,box1,1891,,bid1891,,
192,pbcid1,box1,1823,,bid1823,,
193,pbcid1,box1,140,,bid140,,
194,pbcid1,box1,478,,bid3778,,
195,pbcid1,box1,1270,,bid4570,,
196,pbcid1,box1,332,,bid332,,
197,pbcid1,box1,720,,bid720,,
198,pbcid1,box1,2900,,bid2900,,
199,pbcid1,box1,1047,,bid4347,,
200,pbcid1,box1,1268,,bid4568,,
201,pbcid1,box1,3238,,bid3238,,
202,pbcid1,box1,2331,,bid2331,,
203,pbcid1,box1,1724,,bid1724,,
204,pbcid1,box1,2081,,bid5381,,
205,pbcid1,box1,187,,bid3487,,
206,pbcid1,box1,1584,,bid4884,,
207,pbcid1,box1,972,,bid4272,,
208,pbcid1,box1,3288,,bid3288,,
209,pbcid1,box1,1549,,bid4849,,
210,pbcid1,box1,1894,,bid5194,,
211,pbcid1,box1,1733,,bid5033,,
212,pbcid1,box1,2812,,bid6112,,
213,pbcid1,box1,1882,,bid5182,,
214,pbcid1,box1,2904,,bid6204,,
215,pbcid1,box1,1976,,bid1976,,
216,pbcid1,box1,1896,,bid5196,,
217,pbcid1,box1,2008,,bid5308,,
218,pbcid1,box1,1506,,bid1506,,
219,pbcid1,box1,129,,bid3429,,
220,pbcid1,box1,2535,,bid5835,,
221,pbcid1,box1,2897,,bid6197,,
222,pbcid1,box1,1605,,bid4905,,
223,pbcid1,box1,555,,bid3855,,
224,pbcid1,box1,3251,,bid3251,,
225,pbcid1,box1,3087,,bid6387,,
226,pbcid1,box1,3182,,bid3182,,
227,pbcid1,box1,1086,,bid1086,,
228,pbcid1,box1,2461,,bid5761,,
229,pbcid1,box1,1587,,bid1587,,
230,pbcid1,box1,3178,,bid3178,,
231,pbcid1,box1,1026,,bid1026,,
232,pbcid1,box1,2426,,bid2426,,
233,pbcid1,box1,1846,,bid1846,,
234,pbcid1,box1,2411,,bid2411,,
235,pbcid1,box1,534,,bid3834,,
236,pbcid1,box1,1037,,bid1037,,
237,pbcid1,box1,1178,,bid1178,,
238,pbcid1,box1,57,,bid57,,
239,pbcid1,box1,1507,,bid4807,,
240,pbcid1,box1,574,,bid3874,,
241,pbcid1,box1,116,,bid3416,,
242,pbcid1,box1,2558,,bid5858,,
243,pbcid1,box1,1108,,bid4408,,
244,pbcid1,box1,1148,,bid1148,,
245,pbcid1,box1,1288,,bid4588,,
246,pbcid1,box1,2195,,bid5495,,
247,pbcid1,box1,816,,bid816,,
248,pbcid1,box1,430,,bid430,,
249,pbcid1,box1,1853,,bid1853,,
250,pbcid1,box1,3155,,bid3155,,
251,pbcid1,box1,259,,bid259,,
252,pbcid1,box1,173,,bid173,,
253,pbcid1,box1,3030,,bid3030,,
254,pbcid1,box1,3077,,bid3077,,
255,pbcid1,box1,3036,,bid6336,,
256,pbcid1,box1,649,,bid3949,,
257,pbcid1,box1,2744,,bid2744,,
258,pbcid1,box1,753,,bid4053,,
259,pbcid1,box1,1638,,bid4938,,
260,pbcid1,box1,1615,,bid1615,,
261,pbcid1,box1,1331,,bid4631,,
262,pbcid1,box1,923,,bid4223,,
263,pbcid1,box1,2119,,bid2119,,
264,pbcid1,box1,2399,,bid2399,,
265,pbcid1,box1,1827,,bid5127,,
266,pbcid1,box1,3158,,bid3158,,
267,pbcid1,box1,2959,,bid6259,,
268,pbcid1,box1,878,,bid4178,,
269,pbcid1,box1,2914,,bid2914,,
270,pbcid1,box1,2797,,bid6097,,
271,pbcid1,box1,733,,bid4033,,
272,pbcid1,box1,1122,,bid4422,,
273,pbcid1,box1,1072,,bid4372,,
274,pbcid1,box1,2606,,bid5906,,
275,pbcid1,box1,2107,,bid2107,,
276,pbcid1,box1,3220,,bid3220,,
277,pbcid1,box1,789,,bid789,,
278,pbcid1,box1,558,,bid3858,,
279,pbcid1,box1,272,,bid3572,,
280,pbcid1,box1,476,,bid3776,,
281,pbcid1,box1,2191,,bid2191,,
282,pbcid1,box1,3073,,bid6373,,
283,pbcid1,box1,2646,,bid2646,,
284,pbcid1,box1,652,,bid652,,
285,pbcid1,box1,2619,,bid2619,,
286,pbcid1,box1,2518,,bid5818,,
287,pbcid1,box1,52,,bid3352,,
288,pbcid1,box1,2762,,bid6062,,
289,pbcid1,box1,72,,bid3372,,
290,pbcid1,box1,627,,bid3927,,
291,pbcid1,box1,1829,,bid5129,,
292,pbcid1,box1,1784,,bid5084,,
293,pbcid1,box1,265,,bid3565,,
294,pbcid1,box1,1780,,bid1780,,
295,pbcid1,box1,2208,,bid2208,,
296,pbcid1,box1,2813,,bid2813,,
297,pbcid1,box1,2748,,bid6048,,
298,pbcid1,box1,2050,,bid2050,,
299,pbcid1,box1,764,,bid4064,,
300,pbcid1,box1,1515,,bid1515,,
301,pbcid1,box1,1920,,bid5220,,
302,pbcid1,box1,1708,,bid5008,,
303,pbcid1,box1,1388,,bid1388,,
304,pbcid1,box1,835,,bid4135,,
305,pbcid1,box1,976,,bid976,,
306,pbcid1,box1,852,,bid4152,,
307,pbcid1,box1,1489,,bid4789,,
308,pbcid1,box1,1632,,bid4932,,
309,pbcid1,box1,1443,,bid4743,,
310,pbcid1,box1,2170,,bid2170,,
311,pbcid1,box1,1881,,bid5181,,
312,pbcid1,box1,2027,,bid2027,,
313,pbcid1,box1,1238,,bid4538,,
314,pbcid1,box1,1625,,bid4925,,
315,pbcid1,box1,3114,,bid3114,,
316,pbcid1,box1,845,,bid845,,
317,pbcid1,box1,806,,bid806,,
318,pbcid1,box1,1240,,bid1240,,
319,pbcid1,box1,245,,bid3545,,
320,pbcid1,box1,2912,,bid2912,,
321,pbcid1,box1,75,,bid75,,
322,pbcid1,box1,1677,,bid4977,,
323,pbcid1,box1,328,,bid328,,
324,pbcid1,box1,1764,,bid5064,,
325,pbcid1,box1,49,,bid49,,
326,pbcid1,box1,801,,bid4101,,
327,pbcid1,box1,2828,,bid6128,,
328,pbcid1,box1,2832,,bid2832,,
329,pbcid1,box1,605,,bid3905,,
330,pbcid1,box1,2082,,bid5382,,
331,pbcid1,box1,2510,,bid5810,,
332,pbcid1,box1,1429,,bid1429,,
333,pbcid1,box1,2513,,bid2513,,
334,pbcid1,box1,2093,,bid2093,,
335,pbcid1,box1,1529,,bid1529,,
336,pbcid1,box1,1167,,bid1167,,
337,pbcid1,box1,2044,,bid5344,,
338,pbcid1,box1,313,,bid3613,,
339,pbcid1,box1,1239,,bid1239,,
340,pbcid1,box1,1890,,bid5190,,
341,pbcid1,box1,2407,,bid2407,,
342,pbcid1,box1,1183,,bid1183,,
343,pbcid1,box1,281,,bid281,,
344,pbcid1,box1,239,,bid239,,
345,pbcid1,box1,2861,,bid6161,,
346,pbcid1,box1,1826,,bid1826,,
347,pbcid1,box1,1046,,bid4346,,
348,pbcid1,box1,107,,bid3407,,
349,pbcid1,box1,2485,,bid2485,,
350,pbcid1,box1,2169,,bid5469,,
351,pbcid1,box1,815,,bid4115,,
352,pbcid1,box1,2993,,bid2993,,
353,pbcid1,box1,2009,,bid5309,,
354,pbcid1,box1,2005,,bid2005,,
355,pbcid1,box1,653,,bid3953,,
356,pbcid1,box1,1533,,bid4833,,
357,pbcid1,box1,2932,,bid2932,,
358,pbcid1,box1,500,,bid3800,,
359,pbcid1,box1,202,,bid202,,
360,pbcid1,box1,925,,bid4225,,
361,pbcid1,box1,473,,bid473,,
362,pbcid1,box1,3142,,bid3142,,
363,pbcid1,box1,1769,,bid1769,,
364,pbcid1,box1,2366,,bid2366,,
365,pbcid1,box1,249,,bid3549,,
366,pbcid1,box1,1626,,bid1626,,
367,pbcid1,box1,1193,,bid1193,,
368,pbcid1,box1,1074,,bid1074,,
369,pbcid1,box1,3168,,bid3168,,
370,pbcid1,box1,438,,bid3738,,
371,pbcid1,box1,1807,,bid1807,,
372,pbcid1,box1,2394,,bid5694,,
373,pbcid1,box1,1468,,bid1468,,
374,pbcid1,box1,2227,,bid2227,,
375,pbcid1,box1,2634,,bid5934,,
376,pbcid1,box1,127,,bid127,,
377,pbcid1,box1,975,,bid4275,,
378,pbcid1,box1,613,,bid613,,
379,pbcid1,box1,965,,bid4265,,
380,pbcid1,box1,200,,bid3500,,
381,pbcid1,box1,1718,,bid5018,,
382,pbcid1,box1,3175,,bid3175,,
383,pbcid1,box1,1875,,bid5175,,
384,pbcid1,box1,1182,,bid4482,,
385,pbcid1,box1,1551,,bid1551,,
386,pbcid1,box1,1227,,bid1227,,
387,pbcid1,box1,463,,bid3763,,
388,pbcid1,box1,1441,,bid1441,,
389,pbcid1,box1,522,,bid522,,
390,pbcid1,box1,2721,,bid6021,,
391,pbcid1,box1,2761,,bid2761,,
392,pbcid1,box1,1912,,bid1912,,
393,pbcid1,box1,2760,,bid6060,,
394,pbcid1,box1,2082,,bid2082,,
395,pbcid1,box1,2474,,bid5774,,
396,pbcid1,box1,2336,,bid2336,,
397,pbcid1,box1,1444,,bid1444,,
398,pbcid1,box1,488,,bid488,,
399,pbcid1,box1,184,,bid3484,,
400,pbcid1,box1,423,,bid3723,,
401,pbcid1,box1,1176,,bid4476,,
402,pbcid1,box1,216,,bid216,,
403,pbcid1,box1,22,,bid22,,
404,pbcid1,box1,20,,bid20,,
405,pbcid1,box1,2207,,bid5507,,
406,pbcid1,box1,59,,bid59,,
407,pbcid1,box1,2648,,bid5948,,
408,pbcid1,box1,2372,,bid5672,,
409,pbcid1,box1,2115,,bid2115,,
410,pbcid1,box1,3177,,bid3177,,
411,pbcid1,box1,631,,bid631,,
412,pbcid1,box1,1561,,bid4861,,
413,pbcid1,box1,2440,,bid2440,,
414,pbcid1,box1,2800,,bid2800,,
415,pbcid1,box1,2526,,bid5826,,
416,pbcid1,box1,2047,,bid5347,,
417,pbcid1,box1,1541,,bid4841,,
418,pbcid1,box1,981,,bid4281,,
419,pbcid1,box1,2807,,bid2807,,
420,pbcid1,box1,1597,,bid4897,,
421,pbcid1,box1,92,,bid3392,,
422,pbcid1,box1,1718,,bid1718,,
423,pbcid1,box1,57,,bid3357,,
424,pbcid1,box1,315,,bid315,,
425,pbcid1,box1,412,,bid3712,,
426,pbcid1,box1,2327,,bid2327,,
427,pbcid1,box1,793,,bid4093,,
428,pbcid1,box1,3070,,bid3070,,
429,pbcid1,box1,1720,,bid5020,,
430,pbcid1,box1,1110,,bid4410,,
431,pbcid1,box1,2498,,bid2498,,
432,pbcid1,box1,3023,,bid6323,,
433,pbcid1,box1,3232,,bid3232,,
434,pbcid1,box1,1940,,bid5240,,
435,pbcid1,box1,1245,,bid4545,,
436,pbcid1,box1,2481,,bid5781,,
437,pbcid1,box1,2152,,bid5452,,
438,pbcid1,box1,1573,,bid1573,,
439,pbcid1,box1,2801,,bid6101,,
440,pbcid1,box1,2870,,bid6170,,
441,pbcid1,box1,151,,bid3451,,
442,pbcid1,box1,2302,,bid2302,,
443,pbcid1,box1,1758,,bid5058,,
444,pbcid1,box1,243,,bid3543,,
445,pbcid1,box1,255,,bid255,,
446,pbcid1,box1,1254,,bid1254,,
447,pbcid1,box1,2357,,bid2357,,
448,pbcid1,box1,1311,,bid1311,,
449,pbcid1,box1,1281,,bid4581,,
450,pbcid1,box1,642,,bid3942,,
451,pbcid1,box1,2290,,bid5590,,
452,pbcid1,box1,3275,,bid3275,,
453,pbcid1,box1,19,,bid19,,
454,pbcid1,box1,1658,,bid1658,,
455,pbcid1,box1,154,,bid154,,
456,pbcid1,box1,3086,,bid6386,,
457,pbcid1,box1,9,,bid9,,
458,pbcid1,box1,901,,bid4201,,
459,pbcid1,box1,125,,bid3425,,
460,pbcid1,box1,200,,bid200,,
461,pbcid1,box1,1945,,bid1945,,
462,pbcid1,box1,2339,,bid2339,,
463,pbcid1,box1,1152,,bid1152,,
464,pbcid1,box1,1922,,bid5222,,
465,pbcid1,box1,2139,,bid2139,,
466,pbcid1,box1,2231,,bid5531,,
467,pbcid1,box1,1689,,bid1689,,
468,pbcid1,box1,2360,,bid5660,,
469,pbcid1,box1,3009,,bid6309,,
470,pbcid1,box1,350,,bid350,,
471,pbcid1,box1,724,,bid724,,
472,pbcid1,box1,437,,bid3737,,
473,pbcid1,box1,396,,bid396,,
474,pbcid1,box1,2025,,bid2025,,
475,pbcid1,box1,2776,,bid6076,,
476,pbcid1,box1,2270,,bid5570,,
477,pbcid1,box1,1193,,bid4493,,
478,pbcid1,box1,367,,bid367,,
479,pbcid1,box1,664,,bid3964,,
480,pbcid1,box1,1570,,bid4870,,
481,pbcid1,box1,2053,,bid2053,,
482,pbcid1,box1,1283,,bid1283,,
483,pbcid1,box1,938,,bid4238,,
484,pbcid1,box1,1535,,bid1535,,
485,pbcid1,box1,3095,,bid6395,,
486,pbcid1,box1,3017,,bid6317,,
487,pbcid1,box1,1377,,bid4677,,
488,pbcid1,box1,2492,,bid5792,,
489,pbcid1,box1,2956,,bid6256,,
490,pbcid1,box1,2559,,bid2559,,
491,pbcid1,box1,2467,,bid5767,,
492,pbcid1,box1,2079,,bid5379,,
493,pbcid1,box1,2969,,bid2969,,
494,pbcid1,box1,477,,bid3777,,
495,pbcid1,box1,1306,,bid1306,,
496,pbcid1,box1,3011,,bid3011,,
497,pbcid1,box1,684,,bid3984,,
498,pbcid1,box1,351,,bid3651,,
499,pbcid1,box1,1043,,bid4343,,
500,pbcid1,box1,2183,,bid2183,,
501,pbcid1,box1,770,,bid4070,,
502,pbcid1,box1,1,,bid1,,
503,pbcid1,box1,561,,bid3861,,
504,pbcid1,box1,2699,,bid2699,,
505,pbcid1,box1,2712,,bid2712,,
506,pbcid1,box1,995,,bid995,,
507,pbcid1,box1,1828,,bid5128,,
508,pbcid1,box1,1049,,bid4349,,
509,pbcid1,box1,1858,,bid5158,,
510,pbcid1,box1,2886,,bid6186,,
511,pbcid1,box1,2352,,bid2352,,
512,pbcid1,box1,824,,bid4124,,
513,pbcid1,box1,1715,,bid5015,,
514,pbcid1,box1,665,,bid665,,
515,pbcid1,box1,11,,bid3311,,
516,pbcid1,box1,846,,bid4146,,
517,pbcid1,box1,3040,,bid6340,,
518,pbcid1,box1,641,,bid641,,
519,pbcid1,box1,681,,bid681,,
520,pbcid1,box1,1607,,bid1607,,
521,pbcid1,box1,1939,,bid1939,,
522,pbcid1,box1,1566,,bid1566,,
523,pbcid1,box1,134,,bid3434,,
524,pbcid1,box1,1993,,bid5293,,
525,pbcid1,box1,1639,,bid4939,,
526,pbcid1,box1,2212,,bid2212,,
527,pbcid1,box1,27,,bid3327,,
528,pbcid1,box1,1640,,bid1640,,
529,pbcid1,box1,1332,,bid4632,,
530,pbcid1,box1,905,,bid905,,
531,pbcid1,box1,2737,,bid6037,,
532,pbcid1,box1,2930,,bid6230,,
533,pbcid1,box1,1900,,bid1900,,
534,pbcid1,box1,2165,,bid5465,,
535,pbcid1,box1,746,,bid746,,
536,pbcid1,box1,699,,bid699,,
537,pbcid1,box1,643,,bid643,,
538,pbcid1,box1,462,,bid462,,
539,pbcid1,box1,1882,,bid1882,,
540,pbcid1,box1,777,,bid777,,
541,pbcid1,box1,2778,,bid6078,,
542,pbcid1,box1,2647,,bid5947,,
543,pbcid1,box1,1363,,bid1363,,
544,pbcid1,box1,1431,,bid4731,,
545,pbcid1,box1,1968,,bid1968,,
546,pbcid1,box1,739,,bid739,,
547,pbcid1,box1,1729,,bid1729,,
548,pbcid1,box1,171,,bid171,,
549,pbcid1,box1,2098,,bid2098,,
550,pbcid1,box1,2448,,bid2448,,
551,pbcid1,box1,1126,,bid4426,,
552,pbcid1,box1,1382,,bid4682,,
553,pbcid1,box1,927,,bid927,,
554,pbcid1,box1,142,,bid3442,,
555,pbcid1,box1,2982,,bid6282,,
556,pbcid1,box1,1135,,bid4435,,
557,pbcid1,box1,2704,,bid2704,,
558,pbcid1,box1,68,,bid3368,,
559,pbcid1,box1,3045,,bid3045,,
560,pbcid1,box1,213,,bid3513,,
561,pbcid1,box1,457,,bid3757,,
562,pbcid1,box1,1323,,bid1323,,
563,pbcid1,box1,208,,bid3508,,
564,pbcid1,box1,556,,bid3856,,
565,pbcid1,box1,1220,,bid4520,,
566,pbcid1,box1,2994,,bid2994,,
567,pbcid1,box1,1161,,bid1161,,
568,pbcid1,box1,441,,bid3741,,
569,pbcid1,box1,1990,,bid5290,,
570,pbcid1,box1,697,,bid697,,
571,pbcid1,box1,1204,,bid4504,,
572,pbcid1,box1,1904,,bid5204,,
573,pbcid1,box1,1668,,bid4968,,
574,pbcid1,box1,2338,,bid2338,,
575,pbcid1,box1,2888,,bid6188,,
576,pbcid1,box1,1952,,bid1952,,
577,pbcid1,box1,2218,,bid5518,,
578,pbcid1,box1,1940,,bid1940,,
579,pbcid1,box1,1854,,bid1854,,
580,pbcid1,box1,2603,,bid5903,,
581,pbcid1,box1,1947,,bid5247,,
582,pbcid1,box1,1925,,bid5225,,
583,pbcid1,box1,2499,,bid5799,,
584,pbcid1,box1,715,,bid4015,,
585,pbcid1,box1,2342,,bid2342,,
586,pbcid1,box1,1384,,bid4684,,
587,pbcid1,box1,2965,,bid2965,,
588,pbcid1,box1,1548,,bid1548,,
589,pbcid1,box1,2628,,bid2628,,
590,pbcid1,box1,2621,,bid5921,,
591,pbcid1,box1,2615,,bid5915,,
592,pbcid1,box1,878,,bid878,,
593,pbcid1,box1,2199,,bid5499,,
594,pbcid1,box1,1036,,bid1036,,
595,pbcid1,box1,650,,bid3950,,
596,pbcid1,box1,2386,,bid5686,,
597,pbcid1,box1,2323,,bid5623,,
598,pbcid1,box1,219,,bid219,,
599,pbcid1,box1,222,,bid3522,,
600,pbcid1,box1,2486,,bid2486,,
601,pbcid1,box1,562,,bid562,,
602,pbcid1,box1,1140,,bid4440,,
603,pbcid1,box1,506,,bid3806,,
604,pbcid1,box1,2929,,bid2929,,
605,pbcid1,box1,2878,,bid2878,,
606,pbcid1,box1,2503,,bid2503,,
607,pbcid1,box1,1007,,bid4307,,
608,pbcid1,box1,2146,,bid5446,,
609,pbcid1,box1,2089,,bid5389,,
610,pbcid1,box1,1321,,bid1321,,
611,pbcid1,box1,960,,bid4260,,
612,pbcid1,box1,1687,,bid4987,,
613,pbcid1,box1,2727,,bid2727,,
614,pbcid1,box1,1117,,bid4417,,
615,pbcid1,box1,382,,bid3682,,
616,pbcid1,box1,2418,,bid5718,,
617,pbcid1,box1,1467,,bid1467,,
618,pbcid1,box1,83,,bid83,,
619,pbcid1,box1,2045,,bid2045,,
620,pbcid1,box1,1667,,bid1667,,
621,pbcid1,box1,2930,,bid2930,,
622,pbcid1,box1,1360,,bid4660,,
623,pbcid1,box1,820,,bid820,,
624,pbcid1,box1,1704,,bid1704,,
625,pbcid1,box1,2547,,bid2547,,
626,pbcid1,box1,740,,bid740,,
627,pbcid1,box1,2333,,bid5633,,
628,pbcid1,box1,606,,bid3906,,
629,pbcid1,box1,274,,bid3574,,
630,pbcid1,box1,2421,,bid2421,,
631,pbcid1,box1,1063,,bid4363,,
632,pbcid1,box1,2124,,bid2124,,
633,pbcid1,box1,2750,,bid6050,,
634,pbcid1,box1,401,,bid401,,
635,pbcid1,box1,1927,,bid1927,,
636,pbcid1,box1,1786,,bid5086,,
637,pbcid1,box1,1627,,bid4927,,
638,pbcid1,box1,1204,,bid1204,,
639,pbcid1,box1,1436,,bid4736,,
640,pbcid1,box1,1524,,bid4824,,
641,pbcid1,box1,967,,bid967,,
642,pbcid1,box1,2083,,bid2083,,
643,pbcid1,box1,1092,,bid4392,,
644,pbcid1,box1,1271,,bid1271,,
645,pbcid1,box1,420,,bid3720,,
